rank,transformed_feature,mean_absolute_shap_value
387,V115,2.4810878136195176e-05
388,V140,2.295625300146639e-05
389,V112,2.2316121618263414e-05
390,V213,2.202661826901039e-05
391,V254,2.1559413807466613e-05
392,V204,1.903392912633716e-05
393,V260,1.8737593105994165e-05
394,V106,1.859113334678106e-05
395,V104,1.7385624758084287e-05
396,V198,1.7203716074116355e-05
397,V39,1.6985213430132655e-05
398,V242,1.5378064003423788e-05
399,V249,1.4955777604831383e-05
400,V246,1.4860650446265908e-05
401,V206,1.4743486260529605e-05
402,V304,1.4498816590756181e-05
403,V17,1.4212185450887513e-05
404,V162,1.3868762481957713e-05
405,missingindicator_V13,1.3590557196177544e-05
406,V146,9.496991124004124e-06
407,V186,7.079028813459446e-06
408,V190,6.609093331033358e-06
409,id_04,5.897542894526851e-06
410,V93,5.730803799815479e-06
411,V166,5.170226255431775e-06
412,V92,4.368846672587097e-06
413,id_10,3.992208790499717e-06
414,V84,3.84703118354082e-06
415,missingindicator_card3,3.77188006043434e-06
416,missingindicator_id_01,3.4659306632820515e-06
417,V16,3.1358909895643596e-06
418,V214,3.047613579779862e-06
419,V192,2.374539257492868e-06
420,missingindicator_ProductCD_target_encoded,2.2394480742514136e-06
421,missingindicator_V1,2.1402788390405484e-06
422,V247,2.032606065738946e-06
423,missingindicator_D13,1.9327248409390475e-06
424,V275,1.8524633616325447e-06
425,V58,1.6726468550041315e-06
426,missingindicator_amount_card1_24h_mean,6.563780531287196e-07
427,V8,4.986360473558306e-07
428,V255,3.780820779502392e-07
